data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2018-10-01,10:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.805479,-43.061592
2018-11-29,07:20:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.869852,-43.110458
2018-12-16,10:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.868481,-43.18568
2018-12-23,08:00:00,TANGUA,Falta de Atenção à Condução,Colisão traseira,-22.739443,-42.748337
2018-12-24,09:20:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.82169074,-41.47071341
2019-01-09,17:55:00,RIO BONITO,Falta de Atenção à Condução,Colisão traseira,-22.713675,-42.620529
2019-01-10,09:15:00,RIO BONITO,Falta de Atenção à Condução,Colisão traseira,-22.714979,-42.678112
2019-01-14,07:35:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.869852,-43.110458
2019-01-29,18:00:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.82839,-43.0921
2019-02-02,15:20:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.81651,-43.07731
2019-02-25,06:50:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87892,-43.11068
2019-03-07,14:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87029,-43.1658
2019-04-08,07:18:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.87828,-43.21054
2019-04-27,10:30:00,RIO BONITO,Falta de Atenção à Condução,Colisão traseira,-22.69621,-42.56854
2019-04-27,12:45:00,CASIMIRO DE ABREU,Falta de Atenção à Condução,Colisão traseira,-22.47314,-42.08207
2019-05-06,10:40:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.87029,-43.1658
2019-05-11,09:10:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.76751,-41.34876
2019-06-10,10:40:00,TANGUA,Falta de Atenção à Condução,Colisão traseira,-22.73161,-42.71051
2019-07-14,15:00:00,TANGUA,Falta de Atenção à Condução,Colisão traseira,-22.73653,-42.72909
2019-08-13,08:10:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.80547,-43.06157
2019-08-24,15:00:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.72656,-41.32134
2019-09-20,06:40:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.8685,-43.18549
2019-10-03,12:30:00,PARATY,Falta de Atenção à Condução,Colisão traseira,-23.05018,-44.6737
2019-10-05,06:30:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.85412,-43.1018
2019-10-28,12:00:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.87133,-43.20408
2019-11-05,15:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.86981,-43.11046
2019-11-08,10:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.86981,-43.11046
2019-11-26,12:55:00,RIO BONITO,Falta de Atenção à Condução,Colisão traseira,-22.69422,-42.55905
2019-12-21,11:30:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.78578,-41.38139
2019-12-22,08:50:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.31648,-41.32578
2019-12-27,16:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.81262,-43.07267
2019-12-28,14:20:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.82836,-43.09209
2020-01-31,12:36:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.79907687,-43.29015739
2020-04-29,06:25:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.76375592,-43.28683062
2020-05-02,12:40:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.71853604,-43.28993324
2020-07-12,03:00:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7004454,-43.29014851
2020-09-14,19:00:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.71853604,-43.28993324
2020-09-26,11:20:00,TRES RIOS,Falta de Atenção à Condução,Colisão traseira,-22.0721622,-43.1950812
2020-10-11,16:55:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7727827,-43.28595227
2018-02-02,18:10:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7008,-43.2901
